ArrestID,Incident,Arrest Date,Arrest Time,Age,Sex,Race,Ethnicity,Law,Crime LongID,Code Description,Attempt,Arrest type,Last 30 Days,City,State,Neighborhood Association,NeighborhoodXY
APD*210000754,"20,161,604",5/14/2021 0:00,11:30,49,M,W,N,PL,PL 140.20         DF3,BURGLARY 3RD,C,Crime in Progress,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000586,"21,045,935",4/15/2021 0:00,2:15,42,F,W,N,PL,PL 215.51   C     EF1,CRIM CONTEMPT 1/PRIOR CONV,,Order of Protection,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210000685,"21,054,215",5/4/2021 0:00,2:40,42,F,W,N,PL,PL 240.26   01    0V2,HARRASSMENT 2ND- PHY CONTACT,C,Complaint,FALSE,Albany,NY,Black,
APD*210001425,"21,104,391",8/24/2021 0:00,9:50,53,M,W,N,PL,PL 215.50   03    AM2,DISOBEY MANDATE EXC  JL 753A-2,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000075,"21,007,205",1/18/2021 0:00,14:46,30,M,W,N,PL,PL 155.25         AM0,PETIT LARCENY,C,Crime in Progress,FALSE,Albany,NY,Black,
APD*210000478,"21,023,119",3/24/2021 0:00,10:10,24,F,B,N,PL,PL 155.30   04    EF4,GRAND LARCENY 4  CREDIT CARD,C,Crime in Progress,FALSE,Albany,NY,Black,
APD*210000475,"21,035,636",3/24/2021 0:00,1:24,30,M,B,N,PL,PL 165.45   05    EF4,CPSP 4 VEHICLE XCEPT MTRCYCLE,C,Crime in Progress,FALSE,Albany,NY,West End,POINT (-73.7781040852 42.6749695802)
APD*210000392,"21,028,966",3/9/2021 0:00,21:34,23,M,B,N,PL,PL 215.50   03    AM2,DISOBEY MANDATE EXC  JL 753A-2,C,Crime in Progress,FALSE,Albany,NY,West End,POINT (-73.7781040852 42.6749695802)
APD*210000384,"21,028,570",3/9/2021 0:00,7:21,35,M,B,N,PL,PL 140.20         DF3,BURGLARY 3RD,C,Crime in Progress,FALSE,Albany,NY,Black,
APD*210000628,"21,050,196",4/25/2021 0:00,1:51,43,F,B,N,PL,PL 120.00   01    AM3,ASLT W/INT CAUSES PHYS INJURY,C,Crime in Progress,FALSE,Albany,NY,Black,
APD*210000684,"19,106,619",5/4/2021 0:00,2:00,41,M,B,N,PL,PL 130.96         AF0,PRED SEX ASLT AGAINST CHILD:SPECIFIED OFFENSE AGNST CHILD<13,C,Indictment Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000194,"20,164,443",2/6/2021 0:00,18:04,22,M,B,H,PL,PL 240.26         0V2,HARASSMENT 2ND-PHY CONTACT,C,Arrest Warrant,FALSE,Albany,NY,Black,
APD*210000195,"20,165,709",2/6/2021 0:00,18:04,22,M,B,N,PL,PL 120.00   01    AM3,ASLT W/INT CAUSES PHYS INJURY,C,Arrest Warrant,FALSE,Albany,NY,Black,
APD*210000316,"21,023,622",2/25/2021 0:00,20:41,41,M,B,N,PL,PL 215.51         EF1,CRIMINAL CONTEMPT 1ST,C,Order of Protection,FALSE,Albany,NY,Black,
APD*210000142,"21,008,327",1/27/2021 0:00,21:21,41,M,B,N,PL,PL 215.51         EF1,CRIMINAL CONTEMPT 1ST,C,Complaint,FALSE,Albany,NY,Black,
APD*210000752,"18,489,754",5/14/2021 0:00,11:38,25,M,B,N,PL,PL 240.26   01    0V2,HARRASSMENT 2ND- PHY CONTACT,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*200001883,"20,164,290",12/21/2020 0:00,17:48,30,M,W,N,PL,PL 155.25         AM0,PETIT LARCENY,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000141,"21,011,334",1/27/2021 0:00,22:34,41,M,B,N,PL,PL 145.00   01    AM4,CRIM MIS INTENT DAMAGE PROPRTY,C,Order of Protection,FALSE,Albany,NY,Black,
APD*210000308,"20,136,756",2/25/2021 0:00,7:10,24,F,W,N,PL,PL 120.04   01    DF1,VEHICULAR ASSAULT 1ST DEG .18 GRAMS OR MORE ALCOHOL IN BLOOD,C,Crime in Progress,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210001755,"21,127,251",9/23/2021 0:00,16:23,23,M,B,N,PL,PL 121.11   A     AM0,OBSTRUCTION BREATHING/BLOOD CIRCULATION-APPLY PRESSURE,C,Complaint,TRUE,Albany,NY,West End,POINT (-73.7781040852 42.6749695802)
APD*210000477,"21,009,407",3/24/2021 0:00,10:00,61,M,B,N,PL,PL 160.10   02    CF2,ROB-2/PHY INJ OR DISP FRARM,A,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*200001878,"20,102,356",12/21/2020 0:00,8:15,61,M,B,N,PL,PL 120.05   02    DF2,ASLT W/INT CAUSE PH INJ W/WEAP,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210001115,"21,072,804",7/2/2021 0:00,12:25,35,M,W,N,PL,PL 121.11   A     AM0,OBSTRUCTION BREATHING/BLOOD CIRCULATION-APPLY PRESSURE,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000193,"21,015,338",2/6/2021 0:00,6:12,47,M,W,N,PL,PL 215.52   01    DF0,AGGRAV CRIM CONTEMPT:VIOL ORDER PROTECTION-CAUSE PHYS INJURY,C,Order of Protection,FALSE,Albany,NY,Pine Hills,POINT (-73.7866126905 42.6626959378)
APD*210001116,"21,073,420",7/2/2021 0:00,12:25,35,M,W,N,PL,PL 240.26   01    0V2,HARRASSMENT 2ND- PHY CONTACT,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000081,"21,007,791",1/19/2021 0:00,20:39,47,M,W,N,PL,PL 215.50   03    AM2,DISOBEY MANDATE EXC  JL 753A-2,C,Order of Protection,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000312,"21,023,493",2/25/2021 0:00,14:15,37,M,B,N,PL,PL 220.16   01    BF3,CRIM POSS NARCO DRUG INT/SELL,C,Crime in Progress,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210001423,"21,110,667",8/24/2021 0:00,4:31,36,F,W,N,PL,PL 140.15   01    AM2,CRIMINAL TRESPASS 2ND,C,Crime in Progress,FALSE,Albany,NY,West End,POINT (-73.7781040852 42.6749695802)
APD*210000314,"21,023,493",2/25/2021 0:00,14:15,21,M,B,N,PL,PL 220.16   01    BF3,CRIM POSS NARCO DRUG INT/SELL,C,Crime in Progress,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000309,"21,023,085",2/25/2021 0:00,11:45,54,M,B,N,PL,PL 120.14   01    AM2,MENACING-2ND - WEAPON,C,Crime in Progress,FALSE,Albany,NY,Black,
APD*210000318,"21,023,692",2/25/2021 0:00,23:20,35,M,W,N,PL,PL 220.16   05    BF3,CRIM POSS HALLUC W/INT/SELL,C,Crime in Progress,FALSE,Albany,NY,Melrose,POINT (-73.7990796239 42.6727006271)
APD*210000479,"21,035,749",3/24/2021 0:00,10:10,24,F,B,N,PL,PL 220.16   01    BF3,CRIM POSS NARCO DRUG INT/SELL,C,Crime in Progress,FALSE,Albany,NY,Black,
APD*210001118,"21,080,773",7/2/2021 0:00,10:00,34,M,W,H,PL,PL 265.01   01    AM4,CRIM POSS WEAP FIREARM/KNIFE,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210001424,"21,110,667",8/24/2021 0:00,4:31,31,M,W,N,PL,PL 140.15   01    AM2,CRIMINAL TRESPASS 2ND,C,Crime in Progress,FALSE,Albany,NY,West End,POINT (-73.7781040852 42.6749695802)
APD*210000148,"20,132,309",1/28/2021 0:00,11:18,28,F,B,N,PL,PL 155.25         AM0,PETIT LARCENY,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000686,"19,171,880",5/4/2021 0:00,9:00,23,M,B,N,PL,PL 130.25   03    EF3,RAPE - LACK OF CONSENT NOT INCAP,C,Indictment Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000146,"20,118,248",1/28/2021 0:00,10:20,29,F,B,N,PL,PL 170.25         DF2,POSSESS  FORGED INSTRUMENT-2ND,C,Summons,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000006,"21,000,992",1/3/2021 0:00,11:26,34,F,B,N,PL,PL 240.26   01    0V2,HARRASSMENT 2ND- PHY CONTACT,C,Crime in Progress,FALSE,Albany,NY,Black,
APD*210000149,"20,131,555",1/28/2021 0:00,11:30,28,F,B,N,PL,PL 155.25         AM0,PETIT LARCENY,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000391,"21,028,718",3/9/2021 0:00,23:02,24,M,B,H,PL,PL 125.20         BF1,MANSLAUGHTER -1ST,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000317,"21,023,671",2/25/2021 0:00,22:03,41,M,B,N,PL,PL 195.05         AM2,OBSTRUCT GOVERNMENTL ADMIN 2ND,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000147,"20,007,908",1/28/2021 0:00,11:00,28,F,B,N,PL,PL 155.25         AM0,PETIT LARCENY,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*200001887,"20,146,695",12/22/2020 0:00,13:56,37,M,B,N,PL,PL 120.14   01    AM2,MENACING-2ND - WEAPON,C,Complaint,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000913,"21,072,138",6/9/2021 0:00,15:39,35,M,B,N,PL,PL 121.12         DF2,STRANGULATION 2ND-OBSTRUCT BREATH/BLOOD CIRC-CAUSE PHYS INJ,C,Crime in Progress,FALSE,Albany,NY,Black,
APD*210000250,"21,005,347",2/13/2021 0:00,23:00,37,F,W,N,PL,PL 165.05   01    AM3,UNAUTH USE VEH W/O OWNR CONST,C,Arrest Warrant,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
APD*210000313,"21,023,493",2/25/2021 0:00,14:15,28,M,B,N,PL,PL 220.16   01    BF3,CRIM POSS NARCO DRUG INT/SELL,C,Crime in Progress,FALSE,Albany,NY,South End,POINT (-73.7592617522 42.6392747943)
